ID,RT,Choice
1,1493,1
1,2262,1
1,2351,1
1,1933,1
1,2120,1
1,1216,1
1,1517,1
1,1291,1
1,2003,1
1,1698,1
1,1350,1
1,2062,1
1,1303,1
1,1725,1
1,2325,1
1,1629,1
1,2176,1
1,2300,1
1,2082,1
1,1968,1
1,1472,1
1,1722,1
1,1621,1
1,1989,1
1,1678,1
1,1210,1
1,2549,1
1,1886,1
1,1611,1
1,1542,1
1,1473,1
1,1579,1
1,1758,1
1,2077,1
1,1744,1
1,2959,1
1,2224,1
1,1395,1
1,1828,1
1,2101,1
1,3111,1
1,1825,1
1,2102,1
1,1856,1
1,3450,1
1,1690,1
1,2507,1
1,1994,1
1,2066,1
1,2610,1
1,2684,1
1,2185,1
1,2153,1
1,1810,1
1,2352,1
1,2558,1
1,2001,1
1,14503,0
1,2752,1
1,9538,0
1,1855,1
1,1524,1
1,2930,1
1,1720,1
1,1557,1
1,809,1
1,1977,1
1,2577,1
1,2229,1
1,2305,1
1,1619,1
1,2577,1
1,2201,1
1,2117,1
1,1816,1
1,1873,1
1,2862,1
1,1904,1
1,3325,1
1,1816,1
1,1895,1
1,2842,1
1,1398,1
1,1956,1
1,2310,1
1,5914,0
1,1634,1
1,1567,1
1,1324,1
1,19457,0
1,1521,1
1,2188,1
1,1978,1
1,1810,1
1,2488,1
1,2206,1
1,3309,1
1,1879,1
1,1915,1
1,1613,1
2,2783,1
2,1243,1
2,1195,1
2,912,1
2,1507,1
2,1530,-1
2,3323,1
2,3539,1
2,1024,1
2,2855,1
2,1617,1
2,1128,1
2,974,-1
2,1013,1
2,1941,1
2,352,-1
2,1232,1
2,568,1
2,1049,1
2,941,1
2,450,-1
2,1744,1
2,2438,1
2,1004,1
2,14470,1
2,5791,1
2,484,1
2,1174,1
2,3647,1
2,1611,1
2,970,1
2,2902,1
2,1249,1
2,1035,1
2,1433,-1
2,2570,1
2,2389,1
2,769,-1
2,1677,1
2,2470,1
2,485,1
2,2284,1
2,2402,1
2,1492,1
2,2080,1
2,3661,1
2,457,1
2,766,-1
2,1328,1
2,3028,1
2,2498,1
2,1563,1
2,753,1
2,14239,0
2,4260,1
2,1152,-1
2,1404,1
2,539,-1
2,548,-1
2,3352,1
2,1132,1
2,1549,1
2,2328,1
2,1403,1
2,4355,1
2,1060,1
2,2871,1
2,1842,1
2,1408,1
2,1033,1
2,17754,0
2,2934,1
2,2387,1
2,727,1
2,2586,1
2,1781,-1
2,3294,1
2,868,1
2,12301,0
2,2259,1
2,681,1
2,1424,0
2,778,-1
2,3238,1
2,1989,1
2,1321,1
2,3852,1
2,1306,1
2,3519,1
2,923,1
2,859,1
2,1201,1
2,1217,1
2,299,-1
2,961,1
2,2095,1
2,1848,1
2,1198,1
2,2245,1
2,1644,1
3,1220,1
3,610,1
3,455,1
3,465,1
3,478,1
3,489,1
3,1906,1
3,1169,1
3,1444,1
3,241,1
3,671,1
3,597,1
3,764,1
3,282,1
3,1039,1
3,768,1
3,1049,1
3,224,1
3,750,1
3,13908,1
3,702,1
3,946,1
3,784,1
3,1438,1
3,320,1
3,642,1
3,1139,1
3,623,1
3,623,1
3,903,1
3,742,1
3,1544,1
3,164,1
3,2532,1
3,730,1
3,466,1
3,1063,1
3,1102,1
3,132,1
3,2689,1
3,440,1
3,14181,0
3,206,1
3,531,1
3,998,1
3,446,1
3,561,1
3,625,1
3,2095,1
3,413,1
3,9495,1
3,2221,1
3,742,1
3,1787,1
3,309,1
3,650,1
3,902,1
3,782,1
